Id,Label,Grado,Eccentricity,Closeness Centrality,Betweenness Centrality,Clustering Coefficient,PageRank,Modularity Class
2535,Edmond Van Daële,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,110
2536,Antonin Artaud,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,110
2537,Albert Dieudonné,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,110
2538,Edmond Van Daële,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,110
2659,Rene Bitorajac,2,1.0,1.0,0.0,1.0,1.3063185932679343E-4,111
2660,Filip Šovagovi�?,2,1.0,1.0,0.0,1.0,1.3063185932679343E-4,111
2731,Apollonia Kotero,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,112
2732,Clarence Williams III,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,112
2733,Morris Day,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,112
2734,Prince,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,112
2930,Hal Warren,2,1.0,1.0,0.0,1.0,1.3063185932679343E-4,113
2931,John Reynolds,2,1.0,1.0,0.0,1.0,1.3063185932679343E-4,113
3044,Bruno Lawrence,2,1.0,1.0,0.0,1.0,1.3063185932679343E-4,114
3045,Ilona Rodgers,2,1.0,1.0,0.0,1.0,1.3063185932679343E-4,114
3047,Götz George,2,1.0,1.0,0.0,1.0,1.3063185932679343E-4,115
3048,Christiane Hörbiger,2,1.0,1.0,0.0,1.0,1.3063185932679343E-4,115
3114,Yukie Nakama,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,116
3115,Asumi Miwa,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,116
3116,Kirari,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,116
3117,Hirono Kud�?,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,116
3160,Choi Min-sik,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,117
3161,Han Suk-kyu,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,117
3162,Kim Yoon-jin,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,117
3163,Song Kang-ho,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,117
3364,Layaschenko,2,1.0,1.0,0.0,1.0,1.3063185932679343E-4,118
3365,Vladimir Popov,2,1.0,1.0,0.0,1.0,1.3063185932679343E-4,118
3431,Julia Foster,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,119
3432,John Junkin,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,119
3433,Norman Rossington,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,119
3434,Graham Stark,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,119
3471,Pavel Trávní�?ek,2,1.0,1.0,0.0,1.0,1.3063185932679343E-4,120
3472,Libuše Šafránková,2,1.0,1.0,0.0,1.0,1.3063185932679343E-4,120
3474,Gene Bervoets,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,121
3475,Bernard-Pierre Donnadieu,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,121
3476,Johanna ter Steege,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,121
3477,Bernard-Pierre Donnadieu,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,121
3587,Hristo Shopov,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,122
3588,Richard Grieco,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,122
3589,Götz Otto,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,122
3590,Christoph Waltz,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,122
3595,Nikolay Okhlopkov,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,123
3596,Varvara Massalitinova,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,123
3597,Nikolai Cherkasov,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,123
3598,Andrei Abrikosov,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,123
3805,Assi Cohen,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,124
3806,Yehuda Levi,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,124
3807,Aya Koren,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,124
3808,Ohad Knoller,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,124
3812,May Irwin,2,1.0,1.0,0.0,1.0,1.3063185932679343E-4,125
3813,John C. Rice,2,1.0,1.0,0.0,1.0,1.3063185932679343E-4,125
3996,Carol Connors,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,126
3997,Harry Reems,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,126
3998,Dolly Sharp,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,126
3999,Linda Lovelace,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,126
4445,Rocco Siffredi,2,1.0,1.0,0.0,1.0,1.3063185932679343E-4,127
4446,Caroline Ducey,2,1.0,1.0,0.0,1.0,1.3063185932679343E-4,127
4598,Hideji Otaki,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,128
4599,Nobuko Miyamoto,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,128
4600,Tsutomu Yamazaki,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,128
4601,Kin Sugai,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,128
4676,Nancy Morgan,2,1.0,1.0,0.0,1.0,1.3063185932679343E-4,129
4677,Ron Howard,2,1.0,1.0,0.0,1.0,1.3063185932679343E-4,129
5001,Artyom Semakin,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,130
5002,Aleksei Panin,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,130
5003,Igor Petrenko,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,130
5004,Aleksei Kravchenko,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,130
5139,Sergei Stolyarov,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,131
5140,Lyubov Orlova,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,131
5141,Pavel Massalsky,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,131
5142,Vladimir Volodin,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,131
5341,Antara Mali,2,1.0,1.0,0.0,1.0,1.3063185932679343E-4,132
5342,Manoj Bajpai,2,1.0,1.0,0.0,1.0,1.3063185932679343E-4,132
5554,Tony Jaa,2,1.0,1.0,0.0,1.0,1.3063185932679343E-4,133
5555,Pumwaree Yodkamol,2,1.0,1.0,0.0,1.0,1.3063185932679343E-4,133
5587,Marshall Thompson,2,1.0,1.0,0.0,1.0,1.3063185932679343E-4,134
5588,Kim Spalding,2,1.0,1.0,0.0,1.0,1.3063185932679343E-4,134
5832,Jackie Gleason,2,1.0,1.0,0.0,1.0,1.3063185932679343E-4,135
5833,Zohra Lampert,2,1.0,1.0,0.0,1.0,1.3063185932679343E-4,135
5882,Bodil Kjer,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,136
5883,Bodil Kjer,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,136
5884,Stéphane Audran,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,136
5885,Birgitte Federspiel,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,136
5952,Björn Almroth,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,137
5953,Sanna Bråding,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,137
5954,Thorsten Flinck,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,137
5955,Goran Marjanovic,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,137
5959,Hans Moser,2,1.0,1.0,0.0,1.0,1.3063185932679343E-4,138
5960,Heinz Rühmann,2,1.0,1.0,0.0,1.0,1.3063185932679343E-4,138
5968,Luke Kirby,4,8.0,4.11881045185506,0.0,1.0,6.85716227925414E-5,239
5969,Ginette Reno,4,8.0,4.11881045185506,0.0,1.0,6.857162279254139E-5,239
5970,Sophie Lorain,4,8.0,4.11881045185506,0.0,1.0,6.857162279254139E-5,239
5971,Peter Miller,4,8.0,4.11881045185506,0.0,1.0,6.857162279254139E-5,239
6153,Ricky Tomlinson,2,1.0,1.0,0.0,1.0,1.3063185932679343E-4,139
6154,Bradley Walsh,2,1.0,1.0,0.0,1.0,1.3063185932679343E-4,139
