Id,Label
848,Warren Beatty
849,Marion Mack
850,Buster Keaton
851,Boris Karloff
852,Laura Dern
853,B.D. Wong
854,Joseph Mazzello
855,Martin Ferrero
856,Sam Neill
857,Bob Peck
858,Cameron Thor
859,Ariana Richards
860,Richard Attenborough
861,Rene Auberjonois
862,Julie Christie
863,Alan Reed
864,Bob Cunningham
865,Margaret Sheridan
866,Biff Elliot
867,Peggie Castle
868,Cecil Kellaway
869,Beah Richards
870,Katharine Houghton
871,Sidney Poitier
872,Danny Corkill
873,Freddie Jones
874,Francesca Annis
875,Siân Phillips
876,Linda Hunt
877,Judd Omen
878,Kenneth McMillan
879,Richard Jordan
880,Jack Nance
881,Dean Stockwell
882,Brad Dourif
883,Max von Sydow
884,Kyle MacLachlan
885,Silvana Mangano
886,Virginia Madsen
887,Honorato Magaloni
888,Paul L. Smith
889,Sting
890,Molly Wryn
891,Alicia Witt
892,Jürgen Prochnow
893,Cherry Jones
894,Abigail Breslin
895,Patricia Kalember
896,Rory Culkin
897,Joaquin Phoenix
898,Robin Williams
899,Jonathan Freeman
900,Frank Welker
901,Jim Cummings
902,Gilbert Gottfried
903,Scott Weinger
904,Linda Larkin
905,Douglas Seale
906,Russi Taylor
907,Wallace Reid
908,Geraldine Farrar
909,Sessue Hayakawa
910,Fannie Ward
911,Robert Warwick
912,Byron Foulger
913,Veronica Lake
914,Franklin Pangborn
915,Margaret Hayes
916,Porter Hall
917,William Demarest
918,Robert Greig
919,Torben Meyer
920,Enid Markey
921,Howard C. Hickman
922,Herschel Mayall
923,George Fisher
924,Edward F. Cline
925,Virginia Fox
926,Joe Roberts
927,Virginia Foxx
928,Steve Murphy
929,L. M. Kit Carson
930,Esther Howard
931,Claudia Drake
932,Ann Savage
933,Edmund MacDonald
934,Tim Ryan
935,Tom Neal
936,Tom Powers
937,Barbara Stanwyck
938,Edward G. Robinson
939,Robert MacNaughton
940,Debra Winger
941,Drew Barrymore
942,K. C. Martel
943,Peter Coyote
944,Dee Wallace-Stone
945,C. Thomas Howell
946,Henry Thomas
947,Karen Black
948,Toni Basil
949,Phil Spector
950,Peter Fonda
951,Luke Askew
952,Luke Askew
953,Lupe Ontiveros
954,Mike Gomez
955,David Villalpando
956,Tony Plana
957,Trinidad Silva
958,Zaide Silvia Gutiérrez
959,Melville Webber
960,Hildegarde Watson
961,Herbert Stern
962,Leopold Stokowski
963,Walt Disney
964,Deems Taylor
965,Roscoe Arbuckle
966,Bobby Dunn
967,Muriel Goodspeed
968,Earl Askam
969,George Cleveland
970,Richard Alexander
971,"Jack ""Tiny"" Lipson"
972,Charles B. Middleton
973,Buster Crabbe
974,Lon Poff
975,Jean Rogers
976,James Pierce
977,"House Peters, Jr."
978,Theodore Lorch
979,Duke York
980,Frank Shannon
981,Priscilla Lawson
982,Dwight Frye
983,Edward Van Sloan
984,Mae Clarke
985,Frederick Kerr
986,John Boles
987,Colin Clive
988,Walter Brennan
989,Sylvia Sidney
990,Walter Abel
991,Benoît Poelvoorde
992,Heather Graham
993,Mary Beth Hurt
994,Catherine Kellner
995,Stanis�?aw Tym
996,Ernest B. Schoedsack
997,Merian C. Cooper
998,Haidar Khan
999,Marguerite Harrison
1000,Broncho Billy Anderson
1001,Justus D. Barnes
1002,Chester Conklin
1003,Joan Standing
1004,Jason London
1005,Tempe Pigott
1006,Sylvia Ashton
1007,Gibson Gowland
1008,Dale Fuller
1009,Jack Curtis
1010,ZaSu Pitts
1011,Dale Fuller
1012,William S. Hart
1013,Debbie Reynolds
1014,Carolyn Jones
1015,William Wellman Jr.
1016,Karl Malden
1017,Raymond Massey
1018,Agnes Moorehead
1019,Eli Wallach
1020,Brigid Bazlen
1021,Lee J. Cobb
1022,Thelma Ritter
1023,Henry Fonda
1024,Robert Preston
1025,Carroll Baker
1026,Richard Widmark
1027,Bob Hoskins
1028,Katherine Helmond
1029,Jonathan Pryce
1030,Michael Palin
1031,Kim Greist
1032,Ian Holm
1033,J. Frank Burke
1034,George Beban
1035,Robert Shaw
1036,Richard Dreyfuss
1037,Carl Gottlieb
1038,Susan Backlinie
1039,Murray Hamilton
1040,Lorraine Gary
1041,Jonathan Filley
1042,Ted Grossman
1043,Roy Scheider
1044,Chuck Berry
1045,Ruby Dee
1046,Barbara Bedford
1047,Lillian Hall
1048,Alan Roscoe
